#,Player,Age,Market value at the time,Season,Nat.,Left,Joined,Fee
114,"Pavel Nedved",28,-,01/02,,"Lazio
 Serie A","Juventus
 Serie A","38,70 Mill. €"
115,"Didier Drogba",26,-,04/05,,"Marseille
 Ligue 1","Chelsea
 Premier League","38,50 Mill. €"
116,"Raúl Jiménez",28,"25,00 Mill. €",19/20,,"Benfica
 Portugal","Wolves
 Premier League","38,00 Mill. €"
117,"Radja Nainggolan",30,"45,00 Mill. €",18/19,,"AS Roma
 Serie A","Inter
 Serie A","38,00 Mill. €"
118,"Felipe Anderson",25,"30,00 Mill. €",18/19,,"Lazio
 Serie A","West Ham
 Premier League","38,00 Mill. €"
119,"André Silva",21,"22,00 Mill. €",17/18,,"FC Porto
 Liga NOS","AC Milan
 Serie A","38,00 Mill. €"
120,"Alex Oxlade-Chamberlain",24,"22,00 Mill. €",17/18,,"Arsenal
 Premier League","Liverpool
 Premier League","38,00 Mill. €"
121,"Eric Bailly",22,"8,00 Mill. €",16/17,,"Villarreal
 LaLiga","Man Utd
 Premier League","38,00 Mill. €"
122,"Mateo Kovacic",21,"22,00 Mill. €",15/16,,"Inter
 Serie A","Real Madrid
 LaLiga","38,00 Mill. €"
123,"Diego Costa",25,"35,00 Mill. €",14/15,,"Atlético Madrid
 LaLiga","Chelsea
 Premier League","38,00 Mill. €"
124,"Dimitar Berbatov",27,"26,00 Mill. €",08/09,,"Spurs
 Premier League","Man Utd
 Premier League","38,00 Mill. €"
125,"Fernando Torres",23,"30,00 Mill. €",07/08,,"Atlético Madrid
 LaLiga","Liverpool
 Premier League","38,00 Mill. €"
126,"Michael Essien",22,"45,00 Mill. €",05/06,,"Olympique Lyon
 Ligue 1","Chelsea
 Premier League","38,00 Mill. €"
127,"Danny Drinkwater",27,"9,00 Mill. €",17/18,,"Leicester
 Premier League","Chelsea
 Premier League","37,90 Mill. €"
128,"Arturo Vidal",28,"42,00 Mill. €",15/16,,"Juventus
 Serie A","Bayern Munich 
 Bundesliga","37,50 Mill. €"
129,"Luke Shaw",18,"13,00 Mill. €",14/15,,"Southampton
 Premier League","Man Utd
 Premier League","37,50 Mill. €"
130,"David Beckham",28,-,03/04,,"Man Utd
 Premier League","Real Madrid
 LaLiga","37,50 Mill. €"
131,"Jackson Martínez",28,"35,00 Mill. €",15/16,,"FC Porto
 Liga NOS","Atlético Madrid
 LaLiga","37,10 Mill. €"
132,"Thilo Kehrer",21,"18,00 Mill. €",18/19,,"FC Schalke 04
 Bundesliga","Paris SG
 Ligue 1","37,00 Mill. €"
133,"André Gomes",22,"30,00 Mill. €",16/17,,"Valencia
 LaLiga","FC Barcelona
 LaLiga","37,00 Mill. €"
134,"Mario Götze",21,"45,00 Mill. €",13/14,,"Bor. Dortmund
 Bundesliga","Bayern Munich 
 Bundesliga","37,00 Mill. €"
135,"Edin Dzeko",24,"30,00 Mill. €",10/11,,"VfL Wolfsburg
 Bundesliga","Man City
 Premier League","37,00 Mill. €"
136,"Wayne Rooney",18,-,04/05,,"Everton
 Premier League","Man Utd
 Premier League","37,00 Mill. €"
137,"Filippo Inzaghi",27,-,01/02,,"Juventus
 Serie A","AC Milan
 Serie A","36,15 Mill. €"
138,"Gabriel Batistuta",31,-,00/01,,"Fiorentina
 Serie A","AS Roma
 Serie A","36,15 Mill. €"
139,"Vitolo",27,"25,00 Mill. €",17/18,,"Sevilla FC
 LaLiga","Atlético Madrid
 LaLiga","36,00 Mill. €"
140,"Julian Draxler",23,"28,00 Mill. €",16/17,,"VfL Wolfsburg
 Bundesliga","Paris SG
 Ligue 1","36,00 Mill. €"
141,"Geoffrey Kondogbia",22,"16,00 Mill. €",15/16,,"Monaco
 Ligue 1","Inter
 Serie A","36,00 Mill. €"
142,"Ander Herrera",24,"20,00 Mill. €",14/15,,"Athletic
 LaLiga","Man Utd
 Premier League","36,00 Mill. €"
143,"Hernán Crespo",27,-,02/03,,"Lazio
 Serie A","Inter
 Serie A","36,00 Mill. €"
144,"Clément Lenglet",23,"25,00 Mill. €",18/19,,"Sevilla FC
 LaLiga","FC Barcelona
 LaLiga","35,90 Mill. €"
145,"Javier Saviola",19,-,01/02,,"River Plate
 Argentina","FC Barcelona
 LaLiga","35,90 Mill. €"
146,"N'Golo Kanté",25,"20,00 Mill. €",16/17,,"Leicester
 Premier League","Chelsea
 Premier League","35,80 Mill. €"
147,"Nélson Semedo",23,"20,00 Mill. €",17/18,,"Benfica
 Liga NOS","FC Barcelona
 LaLiga","35,70 Mill. €"
148,"Willian",25,"30,00 Mill. €",13/14,,"Anzhi
 Premier Liga","Chelsea
 Premier League","35,50 Mill. €"
149,"Dani Alves",25,"20,00 Mill. €",08/09,,"Sevilla FC
 LaLiga","FC Barcelona
 LaLiga","35,50 Mill. €"
150,"Romelu Lukaku",21,"25,00 Mill. €",14/15,,"Chelsea
 Premier League","Everton
 Premier League","35,36 Mill. €"
151,"Nicolas Anelka",20,-,99/00,,"Arsenal
 Premier League","Real Madrid
 LaLiga","35,00 Mill. €"
152,"Benjamin Pavard",23,"35,00 Mill. €",19/20,,"VfB Stuttgart
 2. Bundesliga","Bayern Munich 
 Bundesliga","35,00 Mill. €"
153,"Thibaut Courtois",26,"65,00 Mill. €",18/19,,"Chelsea
 Premier League","Real Madrid
 LaLiga","35,00 Mill. €"
154,"Leonardo Bonucci",31,"35,00 Mill. €",18/19,,"AC Milan
 Serie A","Juventus
 Serie A","35,00 Mill. €"
155,"Mattia Caldara",24,"25,00 Mill. €",18/19,,"Juventus
 Serie A","AC Milan
 Serie A","35,00 Mill. €"
156,"Shoya Nakajima",24,"18,00 Mill. €",18/19,,"Portimonense
 Liga NOS","Al Duhail
 Stars League","35,00 Mill. €"
157,"Lucas Paquetá",21,"15,00 Mill. €",18/19,,"Flamengo
 Série A","AC Milan
 Serie A","35,00 Mill. €"
158,"Krzysztof Piatek",23,"15,00 Mill. €",18/19,,"Genoa
 Serie A","AC Milan
 Serie A","35,00 Mill. €"
159,"Antonio Rüdiger",24,"25,00 Mill. €",17/18,,"AS Roma
 Serie A","Chelsea
 Premier League","35,00 Mill. €"
